product_id,product_name,category,price,tier,complexity_score,popularity_score
100,Oxford Shirt - Yard Edition,Fashion,106,Standard,0.21,5.265106330671763
101,AA Batteries (4-Pack) - Baby Edition,Electronics,11,Budget,0.02,7.27241854745282
102,Vitamin C Serum - History Edition,Skincare,55,Standard,0.11,1.424915251072274
103,Silk Scarf,Fashion,513,Premium,1.03,0.5436033177673738
104,Facial Cleanser Foam,Skincare,10,Budget,0.02,1.521037022966426
105,Cashmere Trench Coat,Fashion,4991,Luxury,9.98,4.451057585103215
106,Screen Protector,Electronics,19,Budget,0.04,2.771670771818442
107,Espresso Machine - Truth Edition,Home & Living,528,Premium,1.06,1.0313409675255347
108,Facial Cleanser Foam,Skincare,26,Budget,0.05,2.311200327937396
109,Basic Wired Earphones - Cell Edition,Electronics,9,Budget,0.02,5.11279240072232
110,Cotton Pads - Ball Edition,Skincare,40,Budget,0.08,0.9192322859429913
111,Kitchen Towel Set - Value Edition,Home & Living,23,Budget,0.05,7.965874240550532
112,Sunscreen SPF 50,Skincare,65,Standard,0.13,3.9783859902130536
113,Smart Door Lock - Television Edition,Home & Living,513,Premium,1.03,1.675262651135312
114,Flip Flops,Fashion,35,Budget,0.07,7.212179196222771
115,Massage Chair Zero-G - System Edition,Home & Living,2363,Luxury,4.73,1.337145692974997
116,Clay Mask,Skincare,126,Standard,0.25,9.271389522666219
117,USB-C Cable 1m,Electronics,16,Budget,0.03,6.716206050861359
118,Monitor 24-inch IPS - Against Edition,Electronics,465,Premium,0.93,3.710161062109724
119,Succulent Pot Set,Home & Living,136,Standard,0.27,5.819993133775883
120,AA Batteries (4-Pack),Electronics,19,Budget,0.04,4.461412673806452
121,Succulent Pot Set - Enjoy Edition,Home & Living,129,Standard,0.26,6.91915598408243
122,Plastic Food Container - Life Edition,Home & Living,16,Budget,0.03,4.767781505093666
123,Merino Wool Sweater,Fashion,278,Premium,0.56,0.16858125827699522
124,Flip Flops,Fashion,32,Budget,0.06,4.325223968726782
125,Microfiber Cloth,Home & Living,8,Budget,0.02,0.1732171580934494
126,Hair Loss Tonic,Skincare,309,Premium,0.62,5.6397962151276095
127,8K OLED TV 65-inch,Electronics,2196,Luxury,4.39,3.439646338924444
128,Oxford Shirt - Lay Edition,Fashion,110,Standard,0.22,4.517064086465452
129,Toner Hydrating - Woman Edition,Skincare,55,Standard,0.11,8.930310196828808
130,Electric Face Cleanser - Listen Edition,Skincare,431,Premium,0.86,6.183946262181582
131,Sunscreen SPF 50 - Home Edition,Skincare,69,Standard,0.14,4.857832505709422
132,Silk Scarf - Can Edition,Fashion,512,Premium,1.02,2.7317363560679473
133,Fast Charger 30W,Electronics,150,Standard,0.3,3.714955582286289
134,Mechanical Keyboard RGB - Sometimes Edition,Electronics,737,Premium,1.47,6.473135578901569
135,Slim Fit Chinos,Fashion,136,Standard,0.27,5.273144014144683
136,Memory Foam Pillow - Attack Edition,Home & Living,98,Standard,0.2,0.8396493456887011
137,Sony Alpha A7 IV Camera - Painting Edition,Electronics,1766,Luxury,3.53,6.140895622540443
138,Smart Door Lock - Light Edition,Home & Living,632,Premium,1.26,9.548290129613068
139,Hand Cream Mini,Skincare,9,Budget,0.02,9.644500817942252
140,MacBook Pro M3 Max,Electronics,3066,Luxury,6.13,0.022720283033867972
141,Baseball Cap - Example Edition,Fashion,20,Budget,0.04,0.11500812117092529
142,Slim Fit Chinos - Though Edition,Fashion,117,Standard,0.23,2.3757895831011835
143,Daily Moisturizer - Forward Edition,Skincare,83,Standard,0.17,2.4562374695908806
144,Powerbank 10000mAh,Electronics,142,Standard,0.28,9.87261783453236
145,Basic Wired Earphones,Electronics,31,Budget,0.06,2.3867188675088857
146,Silk Scarf - Office Edition,Fashion,608,Premium,1.22,6.13580709501417
